name,director,rating,category,duration,tag,lables
武士畅想曲,中野裕之,7.9,喜剧/动作/冒险,111,日本/中野裕之/武士/日本电影/动作/1998/喜剧/黑白,1847
飞翔的梦,布雷梯斯拉夫·波杰,9.0,动画/家庭/奇幻,84,童年/捷克/童话/记忆中的经典啊/动画/魔幻/儿童/梦幻　甜美　友情,1112
杀人鳄鱼潭,法布里齐奥·德安杰利斯,7.3,恐怖,90,恐怖/惊悚/意大利/正大剧场/杀人鳄鱼潭/意大利电影/1989/童年回忆,1341
春天里的二重奏,安德烈·康查洛夫斯基,7.9,剧情,107,美国/传记/音乐/剧情/朱莉安德鲁斯/1986/JulieAndrews/安德烈·康查洛夫斯基,1021
玩家马布斯博士,弗里茨·朗,8.7,悬疑/惊悚/犯罪,297,德国/默片/弗里茨·朗/表现主义/德国电影/黑白/FritzLang/1920s,602
大地之歌,萨蒂亚吉特·雷伊,8.9,剧情,122,印度/萨蒂亚吉特·雷伊/印度电影/经典/1955/剧情/1950s/黑白,698
情事,李在容,7.4,剧情/爱情/情色,108,韩国电影/韩国/情色/李政宰/伦理/爱情/李美淑/情事,314
学生王子,恩斯特·刘别谦/约翰·斯塔尔,7.4,剧情/爱情,106,美国/刘别谦/默片/ErnstLubitsch/1920s/恩斯特·刘别谦/美国电影/1927,2175
只是人生,贝特朗·塔维涅,7.2,剧情/战争,135,法国/战争/法国电影/1989/剧情/贝特朗·塔韦尼耶/贝特朗·塔韦尼埃/BertrandTavernier,197
颜,阪本顺治,8.0,剧情/喜剧,123,日本/日本电影/阪本顺治/女性/2000/丰川悦司/阪本順治/电影,1171
真爱无尽,无,7.4,剧情/爱情/家庭/奇幻,90,爱情/美国/魔幻/美国电影/奇幻/童话/青春/电影,1234
我们如此相爱,埃托尔·斯科拉,8.4,剧情/喜剧,124,意大利/意大利电影/爱情/喜剧/1970s/EttoreScola/我们如此相爱/Ettore_Scola,930
魔鬼旅,安德鲁·麦克拉格伦,7.4,剧情/动作/战争,130,二战/战争/美国/美国电影/老电影/1968/魔鬼军团/威廉·霍尔登,1606
猛鬼夜惊魂,杰夫布尔 (Jeff Burr),7.2,科幻/恐怖,85,"恐怖/猛鬼惊魂夜/稻草人/惊悚/美国/血腥/美国电影/求下载,,,,,,",782
突破二十五马赫,无,7.6,科幻/家庭/冒险,107,科幻/美国/美国电影/经典/童年回忆/太空/记忆中的电影/电影,2028
公路电影,金仁植,7.6,剧情/爱情/同性,114,韩国/同志/公路电影/韩国电影/同性/Gay/公路/孤独,1094
华盛顿城堡的圣徒,蒂姆·亨特,8.7,剧情,108,美国/美国电影/剧情/社会/经典/正大剧场/1993/多年来一直想重温的电影,2084
友情岁月山鸡故事,叶伟民,7.3,爱情/犯罪,103,古惑仔/香港/香港电影/陈小春/黑帮/梁咏琪/动作/2000,720
绿色食品,理查德·弗莱彻,7.3,剧情/科幻/悬疑/惊悚,97,科幻/美国/反乌托邦/美国电影/1970s/环保/1973/绿色食品,1242
灰眼珠的男孩,安德烈·泰希内,7.4,剧情/爱情/战争,95,法国/法国电影/战争/GaspardUlliel/二战/爱情/2003/Emmanuelle_Béart,1786
子夜的太阳,保罗·塔维亚尼/维托里奥·塔维亚尼,7.6,剧情,112,意大利/意大利电影/CharlotteGainsbourg/夏洛特·甘斯布/1990s/欧洲电影/1990/子夜的太阳,1094
沙甸鱼杀人事件,赵崇基 (Sung Kee Chiu),7.9,剧情/喜剧,105,黄子华/香港/香港电影/1994/赵崇基/温碧霞/剧情/黃子華,1660
英雄,张艺谋,7.3,剧情/动作/武侠/古装,93,张艺谋/武侠/梁朝伟/动作/中国/李连杰/张曼玉/章子怡,1470
爱情麻辣烫,张杨,7.5,剧情/爱情,109,爱情/中国大陆/1997/青春/剧情/文艺/喜剧/经典,3
两个故事一个启示,托德·索伦兹,7.7,剧情/喜剧,87,美国/Todd_Solondz/ToddSolondz/美国电影/2001/belle&sebastian/美國/电影,1781
